DrugBankID_InteractorA	DrugBankID_InteractorB	Adverse
DB00915	DB00834	Y
DB00915	DB01233	Y
DB00915	DB00422	Y
DB00915	DB01043	Y
DB00915	DB00986	Y
DB00915	DB00898	Y
DB00915	DB01156	Y
DB00915	DB06288	Y
DB00471	DB00408	Y
DB00471	DB01241	Y
DB01205	DB01198	Y
DB01205	DB00425	Y
DB01205	DB00962	Y
DB01205	DB00402	Y
DB01017	DB00364	Y
DB01017	DB00707	Y
DB01017	DB00485	Y
DB01017	DB01294	Y
DB02659	DB00364	Y
DB02659	DB00398	Y
DB01099	DB00363	Y
DB00380	DB00363	Y
DB00360	DB00862	Y
DB00360	DB00820	Y
DB00360	DB00563	Y
DB00599	DB00831	Y
DB00599	DB00679	Y
DB00599	DB00420	Y
DB00599	DB00433	Y
DB00599	DB01621	Y
DB00599	DB00850	Y
DB00599	DB01083	Y
DB00599	DB00358	Y
DB00599	DB01221	Y
DB00599	DB01119	Y
DB00599	DB00477	Y
DB00599	DB01223	Y
DB00837	DB01083	Y
DB00837	DB00358	Y
DB00849	DB01083	Y
DB00849	DB00358	Y
DB01611	DB00358	Y
DB00342	DB00582	Y
DB00342	DB01149	Y
DB00342	DB00872	Y
DB00342	DB08873	Y
DB00342	DB01128	Y
DB01071	DB00831	Y
DB01071	DB00752	Y
DB01071	DB01623	Y
DB01071	DB00679	Y
DB01071	DB01037	Y
DB01071	DB00734	Y
DB01071	DB01367	Y
DB01071	DB00908	Y
DB01071	DB00420	Y
DB01071	DB00433	Y
DB01071	DB00780	Y
DB01071	DB00850	Y
DB01071	DB00738	Y
DB01071	DB00715	Y
DB01071	DB00334	Y
DB01071	DB01171	Y
DB01071	DB01403	Y
DB01071	DB00333	Y
DB01071	DB08815	Y
DB01071	DB00408	Y
DB01071	DB01247	Y
DB01071	DB00502	Y
DB01071	DB00472	Y
DB01071	DB00898	Y
DB01071	DB00450	Y
DB01071	DB00907	Y
DB01071	DB00363	Y
DB01071	DB00477	Y
DB01071	DB01156	Y
DB01071	DB01238	Y
DB01006	DB00675	Y
DB01006	DB00333	Y
DB00604	DB00582	Y
DB00604	DB00344	Y
DB00604	DB01100	Y
DB00604	DB01115	Y
DB00604	DB01149	Y
DB00604	DB00834	Y
DB00604	DB00677	Y
DB00604	DB00956	Y
DB00604	DB00898	Y
DB00604	DB00872	Y
DB00604	DB08873	Y
DB00604	DB01128	Y
DB00604	DB03880	Y
DB00604	DB00673	Y
DB00604	DB00321	Y
DB00869	DB00311	Y
DB00869	DB01144	Y
DB00869	DB00819	Y
DB01194	DB00582	Y
DB01194	DB01149	Y
DB01194	DB00311	Y
DB01194	DB01144	Y
DB01194	DB00872	Y
DB01194	DB08873	Y
DB01194	DB00819	Y
DB00308	DB01182	Y
DB00308	DB00834	Y
DB00308	DB08868	Y
DB01708	DB00957	Y
DB01708	DB06713	Y
DB01708	DB00823	Y
DB01708	DB00977	Y
DB01708	DB04574	Y
DB01708	DB01395	Y
DB01708	DB00304	Y
DB06698	DB00752	Y
DB06698	DB00871	Y
DB06698	DB01037	Y
DB06698	DB00938	Y
DB06698	DB01001	Y
DB06698	DB01367	Y
DB06698	DB01291	Y
DB06698	DB00780	Y
DB06698	DB00768	Y
DB06698	DB01171	Y
DB06698	DB00455	Y
DB06698	DB00920	Y
DB06698	DB01247	Y
DB06698	DB00332	Y
DB06698	DB05039	Y
DB06698	DB00983	Y
DB06698	DB00588	Y
DB06698	DB01288	Y
DB06698	DB00366	Y
DB06698	DB00434	Y
DB06698	DB01176	Y
DB06698	DB00283	Y
DB06698	DB01114	Y
DB06698	DB00835	Y
DB06698	DB00972	Y
DB06698	DB01274	Y
DB00744	DB00682	Y
DB00744	DB00277	Y
DB00744	DB00571	Y
DB00744	DB01100	Y
DB00744	DB00408	Y
DB00376	DB00273	Y
DB00376	DB01409	Y
DB00376	DB01278	Y
DB00376	DB06148	Y
DB00376	DB01233	Y
DB00376	DB08897	Y
DB01591	DB00582	Y
DB01591	DB00273	Y
DB01591	DB01409	Y
DB01591	DB01278	Y
DB01591	DB00834	Y
DB01591	DB06148	Y
DB01591	DB01233	Y
DB01591	DB01254	Y
DB01591	DB00872	Y
DB01591	DB00559	Y
DB01591	DB00673	Y
DB01591	DB08897	Y
DB00387	DB00273	Y
DB00387	DB01409	Y
DB00387	DB01278	Y
DB00387	DB06148	Y
DB00387	DB01233	Y
DB00387	DB08897	Y
DB04843	DB00273	Y
DB04843	DB01409	Y
DB04843	DB01278	Y
DB04843	DB06148	Y
DB04843	DB01233	Y
DB04843	DB08897	Y
DB01043	DB00909	Y
DB01043	DB00440	Y
DB01043	DB00273	Y
DB01043	DB00703	Y
DB01043	DB01221	Y
DB01043	DB00311	Y
DB01043	DB01144	Y
DB01043	DB00514	Y
DB01043	DB01156	Y
DB01043	DB00819	Y
DB00424	DB00273	Y
DB00424	DB01409	Y
DB00424	DB01278	Y
DB00424	DB06148	Y
DB00424	DB01233	Y
DB00424	DB08897	Y
DB00986	DB00273	Y
DB00986	DB01409	Y
DB00986	DB01278	Y
DB00986	DB06148	Y
DB00986	DB01233	Y
DB00986	DB00502	Y
DB00986	DB00335	Y
DB00986	DB08897	Y
DB01148	DB00273	Y
DB01148	DB01409	Y
DB01148	DB01278	Y
DB01148	DB06148	Y
DB01148	DB01233	Y
DB01148	DB08897	Y
DB00804	DB00273	Y
DB00804	DB01409	Y
DB00804	DB01278	Y
DB00804	DB06148	Y
DB00804	DB01233	Y
DB00804	DB08897	Y
DB00572	DB00273	Y
DB00572	DB01409	Y
DB00572	DB01278	Y
DB00572	DB06148	Y
DB00572	DB01233	Y
DB00572	DB08897	Y
DB01339	DB00661	Y
DB01339	DB00421	Y
DB01339	DB00468	Y
DB01339	DB00908	Y
DB01339	DB01035	Y
DB01339	DB01074	Y
DB01339	DB01054	Y
DB01339	DB00401	Y
DB01339	DB00393	Y
DB01339	DB00622	Y
DB01339	DB00653	Y
DB01339	DB01356	Y
DB01339	DB00270	Y
DB01339	DB00996	Y
DB01339	DB04841	Y
DB01339	DB01023	Y
DB01339	DB01244	Y
DB01339	DB01427	Y
DB01339	DB00381	Y
DB00706	DB00582	Y
DB00706	DB00661	Y
DB00706	DB00862	Y
DB00706	DB00679	Y
DB00706	DB00820	Y
DB00706	DB00908	Y
DB00706	DB01074	Y
DB00706	DB00715	Y
DB00706	DB01054	Y
DB00706	DB00401	Y
DB00706	DB00393	Y
DB00706	DB00622	Y
DB00706	DB01149	Y
DB00706	DB00834	Y
DB00706	DB01403	Y
DB00706	DB00653	Y
DB00706	DB00270	Y
DB00706	DB00996	Y
DB00706	DB00472	Y
DB00706	DB04841	Y
DB00706	DB01023	Y
DB00706	DB01254	Y
DB00706	DB00872	Y
DB00706	DB00907	Y
DB00706	DB01156	Y
DB00706	DB00559	Y
DB00706	DB08873	Y
DB00706	DB01244	Y
DB00706	DB00673	Y
DB00706	DB01427	Y
DB00706	DB00381	Y
DB00728	DB00661	Y
DB00728	DB00421	Y
DB00728	DB00468	Y
DB00728	DB00908	Y
DB00728	DB01035	Y
DB00728	DB01074	Y
DB00728	DB01054	Y
DB00728	DB00401	Y
DB00728	DB00393	Y
DB00728	DB00622	Y
DB00728	DB00653	Y
DB00728	DB01356	Y
DB00728	DB00270	Y
DB00728	DB00996	Y
DB00728	DB04841	Y
DB00728	DB01023	Y
DB00728	DB01244	Y
DB00728	DB01427	Y
DB00728	DB00381	Y
DB01337	DB00661	Y
DB01337	DB00277	Y
DB01337	DB00421	Y
DB01337	DB00468	Y
DB01337	DB00908	Y
DB01337	DB01035	Y
DB01337	DB01074	Y
DB01337	DB01054	Y
DB01337	DB00401	Y
DB01337	DB00393	Y
DB01337	DB00622	Y
DB01337	DB00653	Y
DB01337	DB01356	Y
DB01337	DB00270	Y
DB01337	DB00996	Y
DB01337	DB04841	Y
DB01337	DB01023	Y
DB01337	DB01244	Y
DB01337	DB01427	Y
DB01337	DB00381	Y
DB01337	DB01223	Y
DB01065	DB00401	Y
DB01065	DB00393	Y
DB01065	DB01115	Y
DB01065	DB00270	Y
DB01065	DB01023	Y
DB01065	DB00381	Y
DB00962	DB00425	Y
DB00962	DB01041	Y
DB00962	DB06204	Y
DB00962	DB05271	Y
DB00962	DB00268	Y
DB00962	DB00413	Y
DB00962	DB01173	Y
DB00962	DB00486	Y
DB00962	DB00370	Y
DB00962	DB01403	Y
DB00962	DB00653	Y
DB00962	DB00956	Y
DB00962	DB00450	Y
DB00962	DB00470	Y
DB00962	DB00366	Y
DB00962	DB00921	Y
DB01236	DB00425	Y
DB01236	DB01041	Y
DB01236	DB06204	Y
DB01236	DB05271	Y
DB01236	DB00268	Y
DB01236	DB00413	Y
DB01236	DB01173	Y
DB01236	DB00368	Y
DB01236	DB00486	Y
DB01236	DB00370	Y
DB01236	DB00834	Y
DB01236	DB00422	Y
DB01236	DB01403	Y
DB01236	DB00653	Y
DB01236	DB00956	Y
DB01236	DB00983	Y
DB01236	DB01363	Y
DB01236	DB00450	Y
DB01236	DB00470	Y
DB01236	DB00366	Y
DB01236	DB00988	Y
DB01236	DB00921	Y
DB00747	DB00425	Y
DB00747	DB00273	Y
DB00747	DB01409	Y
DB00747	DB01041	Y
DB00747	DB06204	Y
DB00747	DB05271	Y
DB00747	DB00268	Y
DB00747	DB01278	Y
DB00747	DB00413	Y
DB00747	DB01173	Y
DB00747	DB00486	Y
DB00747	DB00370	Y
DB00747	DB06148	Y
DB00747	DB01233	Y
DB00747	DB01403	Y
DB00747	DB00653	Y
DB00747	DB00956	Y
DB00747	DB00450	Y
DB00747	DB00470	Y
