# disease	number_of_all_genes	number_of_OMIM_genes	number_of_GWAS_genes	OMIM_genes	GWAS_genes
neoplasms, glandular and epithelial	107	75	33	2778;8031;8030;5324;54556;4089;55717;5290;5727;7030;3417;238;1499;3977;10342;6927;201163;657;23085;79145;57670;8805;7157;23095;7490;5546;5987;5925;84925;116093;324;4595;1033;1755;51592;51201;9950;8929;162967;79663;3621;675;55193;4968;5728;57120;673;8314;6098;5108;3265;51684;8312;4771;5468;4233;8795;11236;7175;4841;2271;6421;6392;4914;9049;4292;473;5979;9516;79058;8915;57509;2064;8643;7428	56169;2034;285176;23187;595;3119;7015;353238;5820;26154;3662;4004;401237;51750;267015;79608;140856;57419;58480;4276;580;100288517;9375;100131561;3709;100048912;390218;23095;4157;8082;3118;949;55770
neoplasms, nerve tissue	65	36	29	6598;55717;3417;4763;238;5468;6389;57670;473;7517;5925;1019;324;1755;8929;162967;675;5728;57120;673;6098;51684;4771;1499;23095;4157;6392;6390;6391;1029;54949;5979;55654;2064;8643;7428	56169;130540;285176;23187;128869;7015;172;5820;26154;4004;401237;51750;100271144;79608;140856;57419;8398;580;7299;4507;343045;100048912;8558;4600;100271618;8028;86123;472;81037
neoplasms, neuroepithelial	35	21	14	57670;473;162967;6098;675;2064;3417;55717;5728;57120;673;5925;238;51684;324;1499;5468;1755;23095;8643;8929	140856;5820;57419;56169;580;285176;4004;401237;26154;100048912;51750;23187;7015;79608
neoplastic syndromes, hereditary	37	34	3	5395;4089;11200;4763;4436;5889;4292;4221;27241;5728;2132;2131;7157;7490;5727;7249;7248;657;324;4595;11281;57531;675;1027;672;5892;4072;4771;2956;7048;6794;1029;201163;5979	8398;4507;338376
nephritis	30	11	20	1285;1287;1286;64423;4643;23607;7225;4627;81;4920;8542	449492;449493;3119;3118;8897;3116;9526;22925;8741;6665;10665;3117;407977;3075;3123;5696;150280;10255;4855;8542
nervous system diseases	871	644	239	374654;3920;114781;84623;4771;27286;7345;120892;285362;8864;9289;5824;7305;5828;668;6487;80331;10585;8905;348;51062;2592;203228;4935;5264;6792;5261;6658;2316;2314;84233;5521;55998;10801;5913;291;81839;2896;594;6598;140803;3778;3679;274;275;4552;93986;2542;493856;80208;80207;2548;51114;81622;2261;1013;4211;9150;9524;5009;2760;124590;8518;4359;23095;23096;55129;79955;25978;6507;23064;57502;3251;4952;435;2617;335;65055;64221;3868;10020;8195;2018;859;2688;84059;7552;3897;7555;7273;55277;6611;374291;340024;23435;10564;7276;95;255928;5956;1629;5189;8565;5224;90167;55650;8831;56652;747;4618;3060;7170;3064;8292;6898;8890;5354;57716;91147;5456;5146;10939;1756;79628;9445;611;23503;3708;8242;8243;5538;4508;4668;1282;4914;1471;1476;54820;64072;80781;5173;2717;1302;50484;23209;57449;7957;51473;5071;121512;8988;5582;3798;4593;5626;146057;7592;5621;8492;1373;6323;23111;2153;10743;2010;80025;54209;55624;83943;11277;1959;5663;7319;2318;9901;3242;4137;203859;65018;825;4488;6329;6855;2902;6606;2904;7138;54332;7132;5256;5257;5255;6663;4723;55605;6311;146227;51204;4239;5376;585;582;583;3748;27241;1137;1135;1134;4620;4548;241;4625;4541;4540;166336;2273;2571;84239;10908;627;8504;9126;593;8291;6535;6530;5664;641339;4340;9439;4538;4539;4534;4535;4536;4537;186;6389;9409;25861;7337;1123;10157;10159;390594;8575;10397;23230;11232;9627;11235;138050;1509;15;4154;16;19;338567;84061;55145;7401;2692;54982;54664;23345;4763;83696;10577;6622;3236;24140;10084;5194;1967;5191;5190;5193;5192;118813;9896;9897;51324;29954;8929;26260;2629;55777;773;779;7102;80704;6862;2332;2334;3028;79158;79152;1760;26353;83605;1140;1141;1144;1145;1261;8573;8622;123606;4864;85300;2521;9203;2664;2653;540;546;547;2652;2245;29978;5063;6403;2705;5144;7399;6444;6445;6442;6443;9179;8022;64374;6448;55103;7443;54840;343641;6567;1822;2147;6310;9570;410;411;6314;25814;129880;25953;4976;1387;4973;3827;443;55737;113278;8320;3476;4287;3575;5091;5092;3479;7249;7248;80184;9782;367;2668;57477;54714;2934;65217;383;445;27429;3315;254065;5583;4758;785;1641;1729;51185;9968;112476;6647;2290;56997;116442;64419;1073;6326;7157;2563;57679;4983;7098;1585;6683;2055;6687;9131;2584;2582;2581;1352;23133;1355;1861;5654;7846;7840;2898;11141;84100;26580;4524;4522;2892;7991;6197;1103;81857;1453;2517;2512;100133941;2736;2737;2731;10002;2733;10165;57094;256471;10369;23189;23636;23224;5053;1814;5728;123016;79840;1813;10479;875;5727;22954;2741;2036;2743;2033;4598;170302;55212;114798;9049;80975;10528;5836;154881;5830;11253;8912;5195;8910;55775;351;55670;8398;54903;9927;215;1785;1786;5476;285489;3329;10083;6872;79147;4703;347733;6712;7050;161582;1778;7054;283;9907;1293;2554;65125;2998;59;58;3565;51;4647;2997;79738;2259;538;2778;57465;9499;4000;8139;9856;57194;5660;9990;7879;4204;6908;79809;1859;4803;2780;6261;6513;2395;427;2074;10133;84295;144165;8450;9640;3508;846;51057;378884;8898;5080;8893;8892;8891;51422;2670;54822;7546;7428;2562;6834;23400;6607;5339;6609;2566;10558;1738;26503;347344;1636;1981;1639;4747;5236;4744;55640;8820;65109;9215;5788;5860;728458;7415;166379;2182;3073;3074;2184;25793;7080;7169;5428;57192;2218;3373;1180;1181;57190;51128;158866;1741;6496;9459;114327;1201;1200;1203;5631;5649;59341;8106;1161;3736;3735;4519;4512;950;4514;26058;9516;81846;57167;57165;1292;9420;1291;81704;5160;5162;84572;10075;2720;2643;8557;9197;5048;11315;9211;22948;9217;4728;54862;6469;3786;3785;3423;50937;23431;3425;472;6335;9517;25836;477;478;4854;7466;3198	162540;114134;2580;952;100131609;114781;100130889;10452;8301;5747;56169;92949;56979;10347;8477;203238;401250;5820;100270961;400591;3122;10892;3120;1946;3127;5621;27072;10665;29119;341;717;1378;267016;646583;352961;23607;678;868;4336;54207;677;54806;5460;8028;4035;1495;3132;100128646;100189469;131368;203228;79970;5308;80036;7473;554251;5594;6565;79031;2315;400403;4137;3123;921;923;56244;926;9037;56922;199;337880;10538;352997;57111;116935;221527;132789;10438;5607;27074;274;23036;56832;6148;8449;728299;267015;4280;6263;90627;4724;80205;450234;344558;254428;387122;51205;147081;23666;23498;3662;170679;253782;285513;1330;100048912;9846;23095;359758;81615;10599;7148;3394;4815;2041;6774;8938;26766;338399;1008;1006;644020;54536;3593;51435;401884;84660;84894;339761;2921;4905;629;454;2294;8320;7919;10895;353002;283226;7917;7916;100271506;57674;3559;2565;7412;10913;27324;27120;3087;5789;10919;965;10404;4276;160365;63976;66037;1594;4234;1591;11262;64332;120892;64231;7132;2043;54805;85453;5341;4862;8934;5819;51338;155061;10228;130013;729075;442524;9108;7936;22920;9451;729816;6891;644150;3184;25902;64321;4277;6622;148867;2135;3109;6346;1191;3106;3107;60468;6101;5491;8740;84286;22898;643680;157708;9811;65125;253018;339263;147;5796;4211;116379;440836;54465;53832;117289;998;6955;10461;79054;152100;84769;1041;1804;3119;3118;3117;945;942;3112;100129583;7074;6239;5932;23271;4855;23025
nervous system malformations	113	113	0	374654;83605;10397;1785;1786;123606;3329;121512;8988;79147;9289;3798;347733;7050;5376;1778;11235;547;51062;2705;1293;1959;65125;9907;5264;2316;4488;81839;2218;3679;8139;54332;9990;4552;8320;3476;4803;8565;80208;7249;7248;8518;4548;144165;4359;23095;1641;8898;10908;54820;2617;2018;65055;10558;3315;4747;55640;8820;6683;3897;6687;10564;7846;7840;16;4524;4522;57190;81857;2736;6496;5631;5649;59341;26353;3735;5728;5354;3236;79840;57716;4000;5191;5727;7879;118813;9896;9897;81846;57165;1292;9420;51324;170302;79628;23503;23111;9197;5048;22948;6862;9215;26580;6469;50937;4914;1291;9517;9516;7546;79152;80781;9927
neurobehavioral manifestations	106	106	0	3920;215;9203;84623;51473;27286;3251;161582;7592;8492;4983;546;547;8905;2245;5063;6448;7319;6658;6567;9901;51;55998;1387;84239;3827;2902;2904;9856;4204;1859;3476;3028;3479;51114;2664;1013;9524;57477;84295;8450;254065;23096;8831;51185;51422;57502;538;9968;6855;9126;2290;6535;641339;116442;2055;347344;186;65109;7552;10159;23133;2182;6611;8573;6487;138050;2898;11141;3373;2892;7991;6197;9439;84061;158866;1741;9459;5631;10369;83696;10479;24140;10084;55650;5456;2036;93986;2033;170302;81704;5160;5162;10075;7102;8242;8243;54862;2332;2334;3423;11253;3425;25836;26260;55777
neurodegenerative diseases	281	211	74	5173;10397;57449;1785;8622;7957;4803;123606;3329;5071;121512;8988;2521;3798;7305;9627;146057;1778;7054;64374;540;547;283;348;80025;51062;54209;2705;10528;83943;1786;27429;1959;203228;55103;7443;5264;54840;343641;4137;6310;9570;84233;6314;65018;5521;4976;538;6647;55737;6607;113278;8139;54332;55775;7879;4204;6908;493856;4287;8565;80208;80207;7249;7248;2395;146227;367;2074;5376;2259;3748;10133;443;25814;8518;144165;4359;4541;5582;3315;9640;3508;55129;378884;8898;25978;6507;23064;2670;6311;3251;4973;54822;10908;2617;57679;335;4540;2290;65055;56997;5663;7345;5621;6606;5664;166336;10558;4538;4539;1981;4535;4536;54982;4747;80331;4744;7415;6683;2055;3897;7555;6687;785;55277;1861;23435;4771;7276;120892;95;7840;25793;6712;255928;1509;747;5428;16;29978;2896;26353;1180;1639;81857;55145;56652;1161;2733;54664;1201;1200;1203;23345;59341;4763;256471;23095;3064;3736;3735;23636;6622;4519;3236;57716;4512;950;9217;5191;4514;65125;118813;26058;9897;81846;10939;57165;9420;51324;9896;79628;2629;8398;773;23503;23111;114798;3708;5354;9197;11315;5538;22948;4508;26580;154881;4154;4914;5631;4000;9517;9516;1476;351;9907;79152;1760;7466;9927	162540;114134;2580;51435;84660;339761;450234;57111;454;9451;84286;10452;644150;274;401884;8301;56832;92949;283226;6622;10347;8934;338399;1191;4724;254428;952;4905;344558;64231;23036;29119;341;25902;1378;7473;339263;9811;10913;23607;23666;3662;4336;643680;3122;253782;285513;998;22920;10228;9846;147081;100128646;120892;27074;203228;7074;81615;1804;79970;130013;2041;945;4137;100129583;5819;56922;6239;51338;1006;155061;23025;926;442524
neuroectodermal tumors	63	35	28	6598;55717;3417;238;5468;6389;57670;473;7517;5925;1019;324;1755;8929;162967;675;5728;57120;673;6098;51684;4771;1499;23095;4157;6392;6390;6391;1029;54949;5979;55654;2064;8643;7428	56169;130540;285176;23187;128869;7015;172;5820;343045;4004;401237;51750;100271144;79608;140856;57419;8398;580;7299;4507;26154;100048912;8558;4600;100271618;86123;472;81037
neuroendocrine tumors	29	15	14	4157;6392;6389;6390;6391;1029;54949;7517;6598;5979;1019;55654;4771;23095;7428	343045;8398;130540;7299;86123;472;4507;81037;100271144;128869;8558;172;4600;100271618
neurologic manifestations	199	194	6	5173;3920;215;1302;50484;2652;84623;8622;51473;27286;6872;85300;5582;9203;3251;161582;7592;8492;4983;546;547;8905;2245;1261;54714;5063;255928;5146;5428;7399;10528;2780;7401;6712;6448;7080;7319;6658;343641;6567;9901;51;4647;4137;6310;6311;6314;25814;25953;1387;538;3827;2902;2904;140803;3778;9856;4204;6908;1859;3476;493856;4287;6261;6663;6513;3479;51114;2664;146227;1013;2643;2259;3748;9524;57477;124590;65217;84295;4359;8450;254065;23096;785;79955;1729;8831;51185;6507;3708;51422;23064;57502;291;9968;112476;6855;146057;9126;2290;56997;64221;6535;6530;641339;116442;2055;347344;9640;186;84059;65109;7552;25861;26580;55129;728458;10159;23133;1861;2182;6611;8573;11232;80975;6487;8575;138050;2898;5956;6323;3373;2892;7991;6197;9439;84061;55145;158866;1741;56652;5080;9459;10002;747;5631;23345;5521;10369;83696;3736;10479;24140;1813;10084;84239;55650;5456;10083;2036;93986;2033;10939;55998;170302;81704;5160;5162;10075;773;55605;611;7102;8242;8243;11141;54862;2332;2334;1282;3423;3028;11253;3425;472;6335;8910;25836;55775;26260;55777;64072;478;7466	3662;4336;9451;4137;10228;926
neuromuscular diseases	181	172	10	1140;1144;1145;50484;10397;57449;1785;1786;285489;3329;121512;8988;2741;79147;2521;3798;6647;1778;4703;10585;547;283;29978;2010;6329;51062;2705;65125;55624;6444;6445;6442;6443;9420;1959;203228;9907;7443;5264;58;2318;16;203859;825;10801;5913;538;123606;6598;113278;9499;274;8139;54332;7879;4803;8565;6261;9782;6311;10558;367;10133;779;8518;1134;4620;4359;4541;4540;3315;3508;7273;7276;2273;8898;23064;1639;291;54822;10908;4625;2617;5376;335;65055;1073;8291;64221;8292;6606;6607;5339;10020;4538;4534;4535;57679;4747;859;4744;7415;6683;3897;7555;6687;9131;8106;29954;55277;390594;23435;4771;11232;7840;7169;5428;4618;19;2218;26353;1180;1103;81857;56652;64419;2733;1293;23345;59341;4763;23095;7170;3736;3735;23224;5354;3236;57716;4000;5191;22954;118813;4593;2743;9897;81846;57165;1292;1756;51324;1291;9896;79628;23503;23111;8557;9197;7138;22948;9217;26580;4154;4914;80208;5631;6335;9517;9516;79152;1760;9927	1804;79970;7074;998;23025;22920;56832;10599;155061;203228
nevi and melanomas	21	6	15	3868;4157;1029;7517;1019;2261	343045;8398;130540;7299;338376;86123;472;4507;81037;100271144;128869;8558;172;4600;100271618
nutrition disorders	32	18	15	8431;5251;142680;7274;4160;5443;3952;1184;5167;8074;1594;181;7352;7421;1758;5468;120227;53630	60467;4685;9369;79068;4094;3778;497258;100189470;83657;5079;4160;2509;140464;442216;400652
nutritional and metabolic diseases	744	449	315	3920;1200;55343;4023;285362;7306;5824;5828;3559;3257;344;80331;348;1798;142680;1493;1497;5468;7048;4935;10195;5261;84233;291;593;594;120227;140803;56052;11136;275;4072;6389;2542;493856;80207;2548;79728;3651;525;26258;2263;1234;64421;443;5009;2760;445;6934;4351;25978;37;36;35;34;23064;640;57505;3251;4952;435;338;335;8462;64221;3291;10020;51021;255738;857;7415;2683;346171;116519;112817;55277;84823;340024;23435;91949;95;1629;5189;256297;5224;148738;56652;3636;3630;6891;6890;6898;4292;5354;1758;51151;388552;79783;9445;5538;4508;4669;85476;2538;1471;686;2717;50484;9365;5078;7389;8546;8540;8504;203228;1371;1373;6329;3939;3931;23479;5994;5264;5993;1591;10111;22845;3242;4137;5660;65266;5498;7036;6927;5251;1717;4728;9382;5255;4723;6311;51204;3667;2071;4541;4540;249;4547;164656;29929;79053;4261;2591;2592;1340;5663;4436;6928;178;175;4538;4539;30061;4535;4536;4537;4948;57104;183;9401;181;185;2110;9409;189;3081;26580;10157;2629;10019;7352;5896;5897;11232;3284;11234;138050;1509;55065;5830;3141;19;27034;84062;4650;54982;54664;4760;5213;10577;493753;4160;5195;5194;5191;5190;5193;5192;9896;2539;65125;204;779;79087;57817;5443;2235;79158;2187;9479;4306;8625;3077;5095;5096;5506;2189;3172;2521;2653;540;29978;2243;8431;7391;7390;9370;284119;6448;6569;89781;2068;2799;410;411;412;4976;3949;5395;3373;11200;10128;8443;7369;4281;4286;5091;5092;4126;4125;9526;54657;2934;54658;383;4758;1643;1729;6770;50617;8813;5972;1589;7157;57679;1586;1584;1585;56606;4247;27329;2055;3145;9131;2584;2582;2581;7299;10312;1355;2588;6521;7486;6524;7841;4683;2896;55120;2109;2108;4864;2517;1513;91869;2639;2731;10165;2632;5256;256471;9180;5053;641;79840;875;6559;4598;1244;11132;55215;10466;5836;5837;51251;440138;4000;7507;3988;351;55670;7508;3981;215;212;210;760;5476;6647;5373;283;10133;3643;2998;2990;51;2997;2395;538;2778;57192;6901;9997;6519;6261;79803;2720;6514;6517;2176;2177;2175;2073;2072;2178;427;2074;3815;3952;2203;53630;847;846;7276;7274;51422;2671;2670;149998;7421;54822;6833;6834;10555;6609;10559;1738;1636;1639;4069;5236;4744;55315;84342;84343;5860;64135;567;1594;3073;3074;229;2184;1593;2956;224;5346;5429;5428;1184;1029;51128;79796;1161;5447;23101;1201;8074;1203;6341;6340;4519;4512;4513;4514;8671;8675;1352;26119;85365;5160;5162;84572;5167;28976;9380;26503;9217;5257;1807;1806;56945;3423;25839;3425;472;6337;374291;6338;7466	100131609;22807;9369;54602;339896;10296;8622;79635;4026;100189470;5079;8549;26471;7227;60685;80736;3767;116085;400223;22836;22837;5820;442257;643550;57827;57514;140464;3122;64375;3120;100270859;3254;3127;7054;1071;25949;8658;10666;9905;63951;283460;267015;267017;2158;54901;287;3990;9861;352961;145741;80737;8638;3481;5144;1797;9374;6446;23274;22920;5996;84991;167826;3132;246778;9173;203228;100270827;400652;5619;6014;29121;100270950;723961;3304;729611;497258;6891;6311;5696;3123;157638;7117;53940;2065;4023;729288;55328;57118;442216;388125;169792;55423;391719;55323;116935;221527;864;23308;8872;253013;150962;22918;56832;10239;3305;3676;5491;84320;59067;6262;340598;83657;116028;4439;1852;4094;3479;8882;100271600;84226;204010;8807;389203;7919;7536;8809;128486;6821;1236;1230;79660;3586;1233;84450;56984;89822;100271203;136259;8567;1512;100270938;6934;340460;5771;431704;440387;100271597;7128;378805;5122;4758;359758;7148;114904;7466;56244;80059;389015;9559;53335;5871;257397;644020;139716;57829;430;7547;3592;140902;56169;442117;79571;629;441726;6605;54469;283598;100271271;10253;100270925;7917;7916;23242;339799;22979;80069;10665;100130239;2888;84811;3516;100147745;10221;387103;90768;114182;100270945;115352;56606;6048;2113;5789;25865;53347;3778;4277;116519;166336;3558;10644;64135;10562;10019;359775;2184;3667;116985;3172;3087;94241;84871;5796;4685;5341;5184;83795;2895;6753;3118;55384;391524;647215;8935;79068;969;7092;57178;155061;6480;2829;4544;388011;79667;54665;3630;729816;5649;6890;10477;11321;63826;1504;3119;139363;55876;9055;10363;4276;4008;60467;54875;3109;4160;7074;9223;26191;3107;60468;40;221895;168850;717;2745;2509;3976;100271063;29851;5289;10554;26797;2720;2646;56999;117289;998;7297;645345;3559;7103;100287887;677828;100270981;169026;79970;1804;3784;9709;3117;84162;3112;135154;5937;79258;8859;1493;54536;80018;4853;57624;4855;399716;6231;23025;29107;63892
obesity	21	7	15	8431;4160;5443;3952;181;7352;5468	60467;4685;9369;79068;4094;3778;497258;100189470;83657;5079;4160;2509;140464;442216;400652
ocular motility disorders	20	15	6	56652;4935;6261;50484;1123;57094;4137;90167;55605;64221;57167;5428;668;11232;291	3662;4336;9451;4137;10228;926
orbital diseases	24	3	24	1493;115352;7253	344462;80862;285834;7253;399;353006;3710;23;11116;10665;115352;267015;4279;2914;4276;8635;1493;29113;394263;3119;646702;4295;3118;55584
osteochondrodysplasias	56	56	0	2778;57539;132884;5176;8600;9451;59341;23592;6452;5745;7227;8443;79659;60681;8540;5479;8792;1836;4148;2131;5191;871;1186;1298;1299;3977;4750;64175;2261;9469;760;1278;1311;121340;10312;1277;9842;7040;10682;2132;3339;50964;28962;4041;5352;2121;6399;1280;2316;860;139285;1297;415;1513;4488;10491
osteoporosis	23	2	21	4041;1277	150538;100270956;205327;25978;952;7056;51059;79577;351143;23657;54510;4982;8707;3844;9658;22918;652411;389136;284274;10584;501
otorhinolaryngologic diseases	54	32	22	3596;1302;83544;55172;493856;6663;2302;10083;5784;64446;84059;55036;123872;25861;7399;124590;65217;64072;4771;80975;339829;27019;221421;79955;1729;345895;4647;7466;8701;7401;1767;51314	2615;352997;352995;55504;5649;353003;353002;4340;3123;3106;26278;346171;85480;285829;387122;91137;353021;2122;56946;3119;3118;3117
ovarian diseases	33	23	10	668;79983;5290;10232;23405;5889;5071;1730;207;675;999;672;135935;22800;5892;1499;9210;344018;2332;2492;4978;2516;2064	3232;5820;54796;3231;56169;286749;3973;100271197;57706;63892
ovarian neoplasms	20	14	6	207;10232;675;999;5290;22800;5892;23405;4978;672;1499;5889;5071;2064	3232;5820;54796;3231;56169;100271197
overnutrition	21	7	15	8431;4160;5443;3952;181;7352;5468	60467;4685;9369;79068;4094;3778;497258;100189470;83657;5079;4160;2509;140464;442216;400652
overweight	21	7	15	8431;4160;5443;3952;181;7352;5468	60467;4685;9369;79068;4094;3778;497258;100189470;83657;5079;4160;2509;140464;442216;400652
pancreatic diseases	29	14	15	3643;6833;1056;1080;4089;79728;672;2746;675;23022;6690;51119;5644;84701	387934;1601;571;28;112744;2494;63877;7031;7032;100132286;25817;51074;2834;11278;647201
panuveitis	33	0	33	80862;285834;116935;729816;6148;10255;4340;4280;3595;353007;3106;3107;100130889;340198;29113;267016;253018;352961;4276;3586;285829;387122;170679;3135;267015;353010;353011;8870;780;149233;170680;10866;54535
parkinson disease	50	15	37	8398;1981;9627;55737;2629;7054;26058;7345;65018;27429;120892;5071;6622;11315;25793	162540;114134;442524;84660;450234;57111;454;9811;644150;401884;92949;6622;100129583;3122;4724;952;4905;84286;254428;29119;147081;7473;339263;23666;2580;253782;285513;100128646;120892;27074;81615;130013;56922;4137;8934;6239;1006
parkinsonian disorders	51	16	37	8398;1981;9627;55737;2629;7054;26058;7345;23400;65018;27429;120892;5071;6622;11315;25793	162540;114134;442524;84660;450234;57111;454;9811;644150;401884;92949;6622;100129583;3122;4724;952;4905;84286;254428;29119;147081;7473;339263;23666;2580;253782;285513;100128646;120892;27074;81615;130013;56922;4137;8934;6239;1006
pathologic processes	78	47	32	3759;2778;10060;10142;558;11093;3753;60529;3757;4878;4208;9992;10021;5728;6261;6662;6640;859;3856;657;23171;287;6331;775;256076;3762;3764;6468;5167;779;3875;54738;3741;1804;4624;2702;1285;5265;1286;1280;3784;79813;7259;54658;6330;644;11216	729075;390345;84441;5308;284217;2890;79822;100271434;2099;11221;6662;100128390;387101;64848;25903;151126;401089;9722;2581;23768;463;98;11278;22822;29994;3782;3781;728615;4734;729627;284252;387119
pathological conditions, anatomical	24	11	13	9119;3476;170302;8320;23414;2660;9990;4613;80781;4488;3897	120114;1308;170553;22971;25771;25817;60401;367;64241;64240;55742;121536;23562
pathological conditions, signs and symptoms	252	161	95	10060;54862;1302;50484;2652;84623;51473;3040;6872;85300;161582;6640;3856;8492;6323;547;1261;287;8431;3762;3764;7390;5146;7399;54738;2702;64072;10653;5468;5428;5265;50674;3039;9901;2990;7401;7259;4137;4647;25953;4488;291;2778;9119;2904;140803;3778;7991;4878;4208;9856;9990;9992;8320;1859;3476;2780;6261;6662;6663;6513;3479;54714;23171;3048;2660;1013;11093;2643;9524;3952;124590;65217;3741;84295;4624;4359;55998;256076;79955;1729;79813;51185;644;54658;11216;84239;112476;3759;10142;2902;3753;60529;3757;64221;6530;10021;2055;23414;859;657;181;84059;25861;3897;6468;728458;2629;3875;1861;8575;1804;11232;80975;6487;7080;2898;5956;26580;55650;9439;55145;8831;56652;5080;558;10002;2632;10369;83696;4613;5728;1811;4160;10083;2036;93986;170302;81704;775;5167;55605;611;779;26503;1285;1286;1280;3784;1282;5443;1813;11253;6335;8910;7352;6330;6331;55777;478;80781	9369;120114;1308;100189470;5079;100271434;2099;346711;140464;25771;2152;401089;23768;4336;29851;8029;11278;29994;23562;5308;4734;1060;729627;286097;4137;25817;926;60401;84441;284217;3778;3031;728409;400652;497258;121536;403301;6662;100128390;83657;64848;367;55742;23635;9722;3662;100130338;10228;7903;55686;340895;387119;3751;117583;79822;116448;11221;7092;22971;442216;387101;79068;25903;2581;463;98;100147821;26281;4685;728615;2890;8661;729075;390345;9451;100271317;100271091;64241;64240;60467;4160;2509;170553;151126;4094;26957;401145;56311;126969;22822;3782;3781;1803;284252;54901
peripheral nervous system diseases	75	75	0	2617;6598;5191;4771;22948;1785;65055;5631;59341;4763;23095;8139;123606;3736;54332;3329;3735;121512;8988;10558;5354;3236;3798;8565;80208;4000;3315;5376;4747;1778;65125;118813;335;9896;9897;81846;547;57165;9420;51324;6683;3897;6687;79628;2705;7879;23503;23111;8518;4803;4359;9197;10397;1786;1959;7840;26580;9907;5264;7276;57716;16;19;4914;8898;26353;10908;6335;9517;9516;81857;79152;51062;10801;9927
peroxisomal disorders	20	20	0	847;51;5264;8504;5830;5195;5194;5189;5191;5190;5193;5192;215;5828;4598;8443;55670;9409;8540;5824
pigmentation disorders	52	33	20	2073;8546;4286;11234;79803;4948;3257;26258;5781;84343;2072;2071;2261;388552;8517;3815;7299;4254;673;51151;5894;7306;3643;6794;5429;4935;1643;89781;22861;2068;7507;84062;7508	53347;54796;387122;100131609;4157;3662;56244;3692;2175;3559;3106;4026;55770;3002;80736;473;10255;8635;7299;114904
polyneuropathies	68	68	0	2617;335;5191;22948;1785;65055;5631;59341;26353;23095;8139;123606;54332;3329;3735;121512;8988;10558;5354;3236;3798;80208;4000;3315;5376;4747;1778;65125;118813;9896;9897;81846;547;57165;9420;51324;6683;3897;6687;79628;2705;7879;23503;23111;8518;4803;4359;9197;10397;1786;1959;7840;26580;9907;5264;57716;16;19;4914;8898;8565;9517;9516;81857;79152;51062;10908;9927
precursor cell lymphoblastic leukemia-lymphoma	45	42	3	4303;4302;10006;4300;6491;23048;6988;8178;608;285527;10215;5079;6929;28992;2309;4066;4928;4004;4005;3558;27086;84159;25925;89884;27125;4298;348801;6886;6887;8028;3131;10962;2120;4299;4683;861;4297;5087;29844;3195;2060;5159	8626;79476;79482
prostatic diseases	83	12	75	1316;5728;60528;2048;11200;6041;6928;4481;23301;367;4477;4601	5010;100128390;387934;153572;6498;646255;22853;401475;100271372;402123;6928;391679;23301;100189492;222546;22834;4477;84790;84075;7015;26579;6662;100270871;4824;58472;653268;401237;7054;8673;1293;4983;354;2263;94274;80319;137868;253461;6582;6581;6580;8193;3817;728484;638;55190;79083;7399;196374;2677;5462;100271222;4609;60678;54790;389136;219931;11278;7337;50805;80031;25978;5630;5305;340602;10611;122525;157638;367;3655;51312;2255;1761;54535;430;63892
prostatic neoplasms	83	12	75	1316;5728;60528;2048;11200;6041;6928;4481;23301;367;4477;4601	5010;100128390;387934;153572;6498;646255;22853;401475;100271372;402123;6928;391679;23301;100189492;222546;22834;4477;84790;84075;7015;26579;6662;100270871;4824;58472;653268;401237;7054;8673;1293;4983;354;2263;94274;80319;137868;253461;6582;6581;6580;8193;3817;728484;638;55190;79083;7399;196374;2677;5462;100271222;4609;60678;54790;389136;219931;11278;7337;50805;80031;25978;5630;5305;340602;10611;122525;157638;367;3655;51312;2255;1761;54535;430;63892
proteinuria	29	0	29	3751;117583;100271317;100271091;116448;23635;55686;346711;403301;728409;7092;2152;26957;401145;29851;56311;100130338;126969;100147821;7903;26281;1803;1060;3031;286097;8661;8029;340895;54901
proteostasis deficiencies	40	32	9	6647;54664;5663;9180;2521;1639;57679;203228;4744;335;9896;6311;7415;283;29978;2934;2243;10133;4069;9445;55277;567;23435;9217;7276;25978;2896;4137;23064;1471;351;54822	1804;79970;7074;998;23025;22920;56832;155061;203228
psoriasis	77	6	75	3593;100507436;149233;4049;10758;7124	3593;100129192;7297;3107;3596;285834;122589;134510;84648;221527;646520;10554;394263;177;6941;63940;5491;253018;3132;54620;831;780;10665;3122;5980;353145;3127;11074;309;51752;135656;401250;717;29113;6048;5966;4843;10318;147;116935;4276;7920;3106;90134;387122;170679;9692;9825;7940;3133;267015;7148;7124;7128;267016;100129921;8870;5089;100270953;149233;3119;3118;10866;344423;89870;170680;3112;6773;10758;5687;4855;56244;54535;2794;135644
purine-pyrimidine metabolism, inborn errors	25	5	21	1807;1806;3251;56606;7369	5289;6446;79667;7536;54875;56606;5871;2895;84871;40;139363;5649;114182;7117;359775;257397;7092;6014;116085;53940;7547
rectal diseases	40	19	22	2778;4092;862;2042;207;4512;4089;27030;4522;5290;673;4088;4763;7486;5157;8313;1499;5979;79695	120376;401475;7227;11221;644540;652;650;4092;3911;466;999;6447;5462;100271596;728615;26585;220959;57609;643503;55892;8667;85415
renal tubular transport, inborn errors	40	40	0	3758;4306;120227;65266;8074;11136;6519;5251;1636;183;5167;6514;6559;525;8671;185;65125;760;3939;142680;6340;7809;10312;1758;6521;1594;6557;6524;6569;1188;1729;1187;1184;50617;6337;7421;4952;5972;6338;340024
