29211 3
34660 250 0.9828338161963326
50777 -1 0.0
2001257 662 0.9918935885536242
34250 -1 0.0
51495 -1 0.0
10628 -1 0.0
32535 25 0.9645151326991076
3014 110 1.0
9108 -1 0.0
7163 150 0.9734629683129458
30522 -1 0.0
21594 -1 0.0
31401 231 0.9299775719556291
43200 373 1.0
48581 628 1.0
21593 -1 0.0
34661 250 1.0
42445 -1 0.0
9605 70 1.0
51656 313 1.0
45088 455 1.0
75259 113 0.8738181871398393
22904 -1 0.0
44403 -1 0.0
43936 -1 0.0
75015 -1 0.0
32102 345 0.9327458328618332
44264 502 0.9767734038259422
39503 -1 0.0
32506 -1 0.0
48568 -1 0.0
60973 -1 0.0
51181 -1 0.0
8202 -1 0.0
6486 56 1.0
44764 192 1.0
45744 637 0.9812561807223762
98542 76 1.0
51354 457 0.8642941077599854
30036 -1 0.0
18196 -1 0.0
9892 -1 0.0
32507 -1 0.0
19320 -1 0.0
51246 -1 0.0
46164 -1 0.0
22407 152 0.9541500915936343
6836 -1 0.0
51186 531 1.0
7097 396 1.0
97435 -1 0.0
9410 -1 0.0
2697 468 1.0
120036 -1 0.0
6732 -1 0.0
60255 -1 0.0
31503 60 0.9988579992841402
1904062 541 0.9416331582994762
10565 -1 0.0
48582 628 0.9903700351218733
1904064 -1 0.0
18197 -1 0.0
1894 -1 0.0
90698 -1 0.0
2683 -1 0.0
60562 599 1.0
35821 -1 0.0
30488 -1 0.0
1902117 450 0.9471295515635717
42762 600 1.0
40007 -1 0.0
10469 671 1.0
71230 373 1.0
32103 345 0.9130854398749312
61351 -1 0.0
48863 -1 0.0
51054 -1 0.0
44267 -1 0.0
34249 -1 0.0
272 492 1.0
6396 248 1.0
16266 -1 0.0
140056 -1 0.0
50920 430 0.8990835555186477
44281 -1 0.0
32940 -1 0.0
45089 455 0.9726312779909052
43161 295 0.9833614033701172
72641 37 0.42961140209365023
46883 -1 0.0
48167 398 1.0
6325 131 1.0
32606 -1 0.0
7368 -1 0.0
48666 734 0.9549524621231824
12501 -1 0.0
23051 613 0.8839741670308974
46395 -1 0.0
44085 274 1.0
7005 138 1.0
7219 548 0.8597560893258211
51651 108 0.8927411696350217
7160 476 1.0
51851 -1 0.0
44260 -1 0.0
32368 -1 0.0
48534 -1 0.0
43650 479 0.9965499265368726
19222 -1 0.0
1901698 -1 0.0
70231 -1 0.0
72348 -1 0.0
51961 343 0.932894463711253
34645 382 0.9798456433290074
72234 737 0.9526505483501991
46717 385 1.0
1902116 450 0.8982895991636191
44247 -1 0.0
50658 99 0.9538874881029494
30858 -1 0.0
43170 -1 0.0
50922 -1 0.0
15833 -1 0.0
1903960 541 0.9924575300546283
19048 -1 0.0
60571 -1 0.0
1901616 -1 0.0
43933 -1 0.0
23056 -1 0.0
31365 -1 0.0
