4183 3
98793 -1 0.0
33017 -1 0.0
120082 -1 0.0
99568 38 0.8599156932645081
30016 -1 0.0
31520 -1 0.0
97651 -1 0.0
9518 -1 0.0
427 -1 0.0
17059 -1 0.0
71664 -1 0.0
30077 -1 0.0
31264 71 0.21593670074708893
5811 75 0.29079436558282723
30670 -1 0.0
70993 -1 0.0
42101 15 0.2948006015498463
36379 -1 0.0
31514 -1 0.0
98794 -1 0.0
5819 75 0.2852433255806359
347 -1 0.0
44352 -1 0.0
10330 -1 0.0
836 -1 0.0
1739 -1 0.0
30681 -1 0.0
120208 -1 0.0
43033 -1 0.0
31974 -1 0.0
43197 -1 0.0
39713 45 0.33660214466431776
32982 -1 0.0
30426 -1 0.0
98573 -1 0.0
99091 -1 0.0
31597 -1 0.0
32592 -1 0.0
44200 -1 0.0
31351 -1 0.0
5796 -1 0.0
5789 -1 0.0
31350 -1 0.0
44191 -1 0.0
9368 -1 0.0
97470 -1 0.0
71256 69 0.23715457394294198
71682 -1 0.0
16472 69 0.23023332798539298
30131 -1 0.0
19866 13 1.0
1990221 -1 0.0
44384 43 1.0
15935 -1 0.0
97013 -1 0.0
32159 -1 0.0
314 -1 0.0
80008 -1 0.0
15934 -1 0.0
97232 -1 0.0
315 -1 0.0
5902 -1 0.0
31233 -1 0.0
32160 -1 0.0
39661 -1 0.0
97346 29 1.0
178 -1 0.0
30937 -1 0.0
177 -1 0.0
228 -1 0.0
99034 -1 0.0
48492 -1 0.0
99064 -1 0.0
45253 -1 0.0
31211 -1 0.0
106083 -1 0.0
44391 -1 0.0
31303 -1 0.0
776 75 0.28275297043795716
31983 49 0.8785330578736303
16581 41 0.8752085233592108
1902493 -1 0.0
98645 -1 0.0
43202 -1 0.0
5778 -1 0.0
31302 -1 0.0
97648 15 0.30543308216924214
5818 75 0.2821207763672298
106174 -1 0.0
99030 -1 0.0
